"simulation_id","simulation_key","simulation_seed","design_seed","design_group","anchor_set_id","success_status","run_started","run_finished","runtime_seconds","total_time","warnings","error_message","completed","stop_reason","simulated_time","lac_0","mu_0","gam_0","laa_0","K_0","K_1","mu_1","laa_1","lambda0","fixed_qgain","fixed_qloss","fixed_transprob","fixed_alpha","cap_max_events","cap_max_matrix_cells","cap_max_species_per_guild","cap_max_runtime_s","events_immigration_plant","events_extinction_plant","events_cladogenesis_plant","events_anagenesis_plant","events_immigration_animal","events_extinction_animal","events_cladogenesis_animal","events_anagenesis_animal","events_cospeciation","events_link_gain","events_link_loss","hazard_immigration_plant","hazard_extinction_plant","hazard_cladogenesis_plant","hazard_anagenesis_plant","hazard_immigration_animal","hazard_extinction_animal","hazard_cladogenesis_animal","hazard_anagenesis_animal","hazard_cospeciation","hazard_link_gain","hazard_link_loss","mu1d_all_weight","mu1d_all_mean","mu1d_all_sd","mu1d_all_min","mu1d_all_max","mu1d_all_frac_inactive","mu1d_all_frac_informative","mu1d_all_frac_strong","mu1d_plant_weight","mu1d_plant_mean","mu1d_plant_sd","mu1d_plant_min","mu1d_plant_max","mu1d_plant_frac_inactive","mu1d_plant_frac_informative","mu1d_plant_frac_strong","mu1d_animal_weight","mu1d_animal_mean","mu1d_animal_sd","mu1d_animal_min","mu1d_animal_max","mu1d_animal_frac_inactive","mu1d_animal_frac_informative","mu1d_animal_frac_strong","laa1D_all_weight","laa1D_all_mean","laa1D_all_sd","laa1D_all_min","laa1D_all_max","laa1D_all_frac_inactive","laa1D_all_frac_informative","laa1D_all_frac_strong","laa1D_over_laa0_all_weight","laa1D_over_laa0_all_mean","laa1D_over_laa0_all_sd","laa1D_over_laa0_all_min","laa1D_over_laa0_all_max","laa1D_over_laa0_all_frac_inactive","laa1D_over_laa0_all_frac_informative","laa1D_over_laa0_all_frac_strong","K1d_over_K0_all_weight","K1d_over_K0_all_mean","K1d_over_K0_all_sd","K1d_over_K0_all_min","K1d_over_K0_all_max","K1d_over_K0_all_frac_inactive","K1d_over_K0_all_frac_informative","K1d_over_K0_all_frac_strong","K1d_over_K0_immigration_weight","K1d_over_K0_immigration_mean","K1d_over_K0_immigration_sd","K1d_over_K0_immigration_min","K1d_over_K0_immigration_max","K1d_over_K0_immigration_frac_inactive","K1d_over_K0_immigration_frac_informative","K1d_over_K0_immigration_frac_strong","n_events","max_richness_p","max_richness_a","max_rows_Mt","max_cols_Mt","max_matrix_cells_observed","final_D_median","final_D_p90","final_D_max","final_D_nonzero_fraction","elapsed_s","result_file_bytes"
1,"sim_0001",904729,20260730,"broad_lhs",,"completed","2026-08-05 02:16:04.747703 +0200","2026-08-05 02:16:07.538011 +0200",2.791,10,,,TRUE,"completed",10,0.177223860371562,0.150352690522073,0.0305051056189339,0.165177859668173,73.9916644607981,3.52785057733336,0.0266785871148548,0.138450335582408,0.296399022746838,0.001,0.001,1,100,20000,4e+06,1500,25200,10,4,0,5,44,18,2,19,0,2,2,10.174231830966,5.64777236324942,1.61453657253449,3.27967428847641,31.3144505416491,27.141671892089,5.00815690183358,19.0188600610701,0.337574159430556,0.747756152264779,0.820752244464913,218.4933668231,0.00190145468892355,0.00694368954280253,0,0.0533571742297096,1,0,0,37.7683577382893,0.00550004371017819,0.0110841965781847,0,0.0533571742297096,1,0,0,180.72500908481,0.00114941268767487,0.00541696935494983,0,0.0266785871148548,1,0,0,133.412410281445,0.0019620211158251,0.0163643806802094,0,0.138450335582408,0.985828700901507,0.0141712990984935,0,133.412410281445,0.0118782330741336,0.0990712721007765,0,0.838189427206176,0.985828700901507,0.0141712990984935,0,218.4933668231,0.00339821255571959,0.0124095163165463,0,0.0953580542630574,1,0,0,7470,0.00516286633302542,0.0189124541628227,0,0.238395135657643,0.995226797954855,0.0047732020451447,0,106,6,27,140,635,88900,0,0,0,0,1.78,1844
2,"sim_0002",1009458,20260730,"broad_lhs",,"completed","2026-08-05 02:16:04.407886 +0200","2026-08-05 02:16:07.132739 +0200",2.725,10,,,TRUE,"completed",10,0.143959913579407,0.131598065259274,0.0431770873191598,0.132766557763149,74.6092290860911,7.32497703165697,0.0312635178434879,0.16564039147944,0.231206661066595,0.001,0.001,1,100,20000,4e+06,1500,25200,13,8,3,4,42,24,0,12,2,1,0,14.3616765365534,6.64735617300235,1.88712227243139,3.51853749223398,54.7168914208395,15.4275197427655,3.3538838595389,10.7996827321759,1.41821412809579,0.699245138006704,1.14185615667161,169.789936601423,0.012348155946414,0.0216009739915005,0,0.15631758921744,0.992492557825227,0.00750744217477256,0,51.5291908507161,0.0203437370223813,0.0291864892170119,0,0.15631758921744,0.97526279551747,0.0247372044825301,0,118.260745750707,0.00886427952900674,0.0160855936619064,0,0.0625270356869758,1,0,0,106.327016933728,0.00189555011235196,0.0176177907936959,0,0.16564039147944,0.988556232598694,0.0114437674013059,0,106.327016933728,0.0142773160974283,0.132697503727749,0,1.24760628180883,0.988556232598694,0.0114437674013059,0,169.789936601423,0.0387773365573834,0.0678342776096013,0,0.490889473151152,0.94674465302904,0.0532553469709604,0,7470.00000000001,0.014327930763962,0.0442455405469291,0,0.589067367781382,0.969831757285266,0.0301682427147341,0,109,9,23,149,628,93572,0,0,0,0,1.699,1892
3,"sim_0003",1114187,20260730,"broad_lhs",,"completed","2026-08-05 02:16:03.450159 +0200","2026-08-05 02:16:05.681210 +0200",2.231,10,,,TRUE,"completed",10,0.171821773417574,0.135069994959451,0.0258538661827289,0.143469884861798,69.5946934293335,1.6108215070195,0.0242632274950292,0.140361953514512,0.374224173197999,0.001,0.001,1,100,20000,4e+06,1500,25200,7,4,1,4,21,11,3,4,5,1,0,7.45677799589605,6.86163241329734,1.88615202594824,2.69298579316956,31.2250381676402,10.872627837785,2.64408191511069,6.71412706297532,2.5495184849165,0.463601951268257,1.26886563862387,133.113332375612,0.0140043402250809,0.023128065762683,0,0.121316137475146,0.998990161626225,0.00100983837377457,0,51.7119188889587,0.0180245138367934,0.0221904329057809,0,0.0970529099801168,1,0,0,81.401413486653,0.0114504424139269,0.023347631712606,0,0.121316137475146,0.998348641069778,0.00165135893022229,0,65.568553743572,0,0,0,0,1,0,0,65.568553743572,0,0,0,0,1,0,0,133.113332375612,0.0133593514839704,0.0220628715599687,0,0.115728759453128,0.998990161626225,0.00100983837377457,0,7469.99999999999,0.00360382262338568,0.0111896092251542,0,0.185166015125004,0.999743446675664,0.000256553324336803,0,61,9,18,151,632,95432,0,0,0,0,0.944,1820
4,"sim_0004",1218916,20260730,"broad_lhs",,"completed","2026-08-05 02:16:03.644882 +0200","2026-08-05 02:16:07.170767 +0200",3.526,10,,,TRUE,"completed",10,0.162619172175554,0.122610319093417,0.0592533295177589,0.137895221616053,82.8325313297825,1.55457848568827,0.0193563615309711,0.13544609324431,0.378353660828104,0.001,0.001,1,100,20000,4e+06,1500,25200,17,8,1,1,62,38,4,22,11,11,7,20.7707223137145,11.2631134749383,4.07933429994351,5.89648110950499,53.5022810324925,37.4037945948381,6.63928243974238,21.8939283242368,11.1241523013739,3.19963451176919,4.01477875641025,406.744877086199,0.0252274267270098,0.040023040700078,0,0.17420725377874,0.927082925848633,0.072917074151367,0,96.7621675311924,0.0530224097138529,0.0457498416766183,0,0.17420725377874,0.875627029893861,0.124372970106139,0,309.982709555007,0.0165511273161155,0.0336463509814468,0,0.17420725377874,0.943145060514115,0.056854939485886,0,201.532795031286,0,0,0,0,1,0,0,201.532795031286,0,0,0,0,1,0,0,406.744877086199,0.0244602531807125,0.0388059281344667,0,0.168909559403551,0.927082925848633,0.072917074151367,0,7470,0.0085230287379756,0.0219027937825367,0,0.168909559403551,0.984957766260825,0.0150422337391745,0,182,20,42,160,664,106240,0,0,0,0,2.449,1832
5,"sim_0005",1323645,20260730,"broad_lhs",,"completed","2026-08-05 02:16:03.808411 +0200","2026-08-05 02:16:07.163647 +0200",3.356,10,,,TRUE,"completed",10,0.320186632152621,0.194229018183096,0.0477008863328441,0.116595095847687,75.2380428698949,2.06246751120142,0.0203838278577869,0.150587450401832,0.345510139763201,0.001,0.001,1,100,20000,4e+06,1500,25200,21,15,9,5,47,37,7,11,10,3,1,14.1253686820107,19.7460054663998,6.90834082867654,4.14594926760169,52.2460796421144,33.5328782173415,9.40747765622717,9.47459109823306,7.47567147841949,2.16021196821184,3.05688361679143,280.308106549677,0.0221886340730806,0.0336731150103007,0,0.183454450720082,0.935439156783654,0.064560843216346,0,104.652280112443,0.0297158074208521,0.0388171919989444,0,0.183454450720082,0.899371672028118,0.100628327971883,0,175.655826437233,0.0177040925146065,0.0292890374985921,0,0.142686795004508,0.956927453495158,0.0430725465048422,0,116.819153214024,0,0,0,0,1,0,0,116.819153214024,0,0,0,0,1,0,0,280.308106549677,0.0298396999016932,0.0452842497358408,0,0.246713057554028,0.888971909298394,0.111028090701607,0,7470,0.00958325310086843,0.0264696937099615,0,0.246713057554028,0.973478326694111,0.0265216733058893,0,166,23,28,178,657,116946,0,0,0,0,2.33,1860
6,"sim_0006",1428374,20260730,"broad_lhs",,"completed","2026-08-05 02:16:04.203943 +0200","2026-08-05 02:16:06.960324 +0200",2.756,10,,,TRUE,"completed",10,0.26847340753074,0.0977028516998127,0.0322938092765999,0.098796818995398,85.0593319462612,7.77774794659181,0.0229545361696424,0.0852844983921386,0.553068538668297,0.001,0.001,1,100,20000,4e+06,1500,25200,11,4,9,3,34,18,11,13,7,4,0,12.4394079313828,8.25637970271479,6.47564804915098,2.80278287671471,42.5991135761444,20.0038025800503,11.0113375594974,7.67119034108276,7.06836607098859,2.26379139510582,1.7627246963218,292.827818889261,0.0128337158644393,0.0330673239201669,0,0.206590825526782,0.952397737958258,0.0476022620417418,0,86.2817106851046,0.0217779005248504,0.0448386537460584,0,0.206590825526782,0.893824500626839,0.106175499373162,0,206.546108204157,0.00909740942955378,0.0257484399090498,0,0.183636289357139,0.97686587808087,0.0231341219191295,0,106.015287984984,0,0,0,0,1,0,0,106.015287984984,0,0,0,0,1,0,0,292.827818889261,0.0511229369626921,0.131723246342066,0,0.822951813959117,0.89655125872442,0.103448741275579,0,7470,0.0191755957598551,0.064462514522555,0,0.914390904399019,0.950916668195907,0.049083331804094,0,114,23,34,170,661,112370,0,0,0,0,1.794,1864
7,"sim_0007",1533103,20260730,"broad_lhs",,"completed","2026-08-05 02:16:03.764620 +0200","2026-08-05 02:16:06.968230 +0200",3.203,10,,,TRUE,"completed",10,0.255370346881344,0.218469512439528,0.0654092677907081,0.082758156069758,83.0863500280513,2.14553971805488,0.0343995838319136,0.126503552899618,0.186547083925533,0.001,0.001,1,100,20000,4e+06,1500,25200,18,8,3,5,73,47,8,15,0,1,3,24.3715073307719,13.5501182707674,4.37240865605061,3.09365093153115,76.5091381565184,49.4504928066628,10.1381045382387,12.860381555444,1.906733412145,1.7331623640672,1.97779881451578,292.697845276373,0.0153679909157666,0.0314496962156954,0,0.206397502991482,0.966933907325474,0.0330660926745259,0,64.1597228711636,0.0350545297421588,0.0493022584197747,0,0.206397502991482,0.88967446241553,0.11032553758447,0,228.538122405209,0.00984119800217896,0.0210953065920073,0,0.103198751495741,0.98862370035621,0.0113762996437902,0,187.174848222742,0.00247782856418974,0.0175303874016705,0,0.126503552899618,0.980412972541918,0.019587027458082,0,187.174848222742,0.029940596575172,0.211826703665242,0,1.52859317929929,0.980412972541918,0.019587027458082,0,292.697845276373,0.0115364127095689,0.0236085951067684,0,0.154938065085096,0.984437447706698,0.0155625522933023,0,7470,0.00672977650899389,0.0157297002723448,0,0.180761075932612,0.996631426059756,0.00336857394024342,0,181,14,35,146,643,93878,0,0,0,0,2.195,1900
8,"sim_0008",1637832,20260730,"broad_lhs",,"completed","2026-08-05 02:16:03.859418 +0200","2026-08-05 02:16:06.620111 +0200",2.761,10,,,TRUE,"completed",10,0.214371772674623,0.100601022275825,0.032576236991222,0.209974559788444,88.8731089582874,2.33789546813192,0.0227635017945771,0.135273550247786,0.176464595209047,0.001,0.001,1,100,20000,4e+06,1500,25200,14,3,3,6,47,20,7,24,0,1,1,13.698677639006,4.38006564212757,2.85977931428878,4.42039373387525,45.9701216692238,20.784274477659,9.35554030314962,17.9113044880061,0.680652644810158,1.12088702164714,1.57926462535332,251.086677445195,0.00384971378019141,0.0121203194742296,0,0.0910540071783084,1,0,0,44.0092945326182,0.0109819056684358,0.021972895336312,0,0.0910540071783084,1,0,0,207.077382912577,0.00233393871553641,0.00789968797819447,0,0.0455270035891542,1,0,0,106.354304275628,0,0,0,0,1,0,0,106.354304275628,0,0,0,0,1,0,0,251.086677445195,0.00444881233091033,0.0140065027714461,0,0.105223975870101,0.994139769716927,0.0058602302830729,0,7470,0.00550601442321823,0.0145843361993068,0,0.184141957772677,0.996026350723512,0.00397364927648784,0,126,12,34,147,650,95550,0,0,0,0,1.745,1804
9,"sim_0009",1742561,20260730,"broad_lhs",,"completed","2026-08-05 02:16:03.959676 +0200","2026-08-05 02:16:06.901256 +0200",2.942,10,,,TRUE,"completed",10,0.105718195070487,0.242489777614515,0.0437097349630141,0.124055725450568,76.477762031431,1.64996183512464,0.0247685291647124,0.153884083812526,0.312767516434418,0.001,0.001,1,100,20000,4e+06,1500,25200,18,9,1,4,50,35,4,21,3,1,0,14.4711454346397,13.9884985770092,1.48213453302076,5.03145530742796,51.590537413486,38.1883078115495,2.99378733088649,10.2227931522679,1.35087903262107,1.03570118205854,1.35184149162256,216.463200938372,0.00608716451104604,0.0142484890162628,0,0.0743055874941372,1,0,0,58.332120623295,0.0112943529278557,0.0186640579082867,0,0.0743055874941372,1,0,0,158.131080315077,0.00416631288445657,0.0116498245171251,0,0.0495370583294248,1,0,0,122.962873372371,0,0,0,0,1,0,0,122.962873372371,0,0,0,0,1,0,0,216.463200938372,0.00530216879765689,0.0124110156278334,0,0.0647232002335477,1,0,0,7470,0.00366883492015144,0.011731835204007,0,0.107872000389246,0.999519859096713,0.000480140903286569,0,146,13,25,147,647,95109,0,0,0,0,1.969,1804
10,"sim_0010",1847290,20260730,"broad_lhs",,"completed","2026-08-05 02:16:03.555621 +0200","2026-08-05 02:16:06.242782 +0200",2.687,10,,,TRUE,"completed",10,0.117309235434002,0.147600727950067,0.0332054289238478,0.145177938266409,72.8763777102033,8.43140239573233,0.0419327636634364,0.0869361564846218,0.166690975432821,0.001,0.001,1,100,20000,4e+06,1500,25200,15,7,1,7,43,23,0,13,0,3,0,10.6024399685308,8.8626646165567,1.68229559883168,4.19055065204967,39.5597856624205,18.53210342219,2.75979386825612,14.2548553359297,1.03270991433652,0.999062354847334,1.25301309805576,188.66450504163,0.0169225204530035,0.0335138139536054,0,0.167731054653746,0.961312931178625,0.0386870688213746,0,61.5740407442328,0.0259255272736166,0.0397720187784818,0,0.125798290990309,0.928857612617137,0.0711423873828629,0,127.090464297397,0.0125606549750726,0.0290288582656399,0,0.167731054653746,0.977037203794356,0.0229627962056433,0,127.053781092628,0,0,0,0,1,0,0,127.053781092628,0,0,0,0,1,0,0,188.66450504163,0.0466900780640371,0.0924662844440366,0,0.46277834660006,0.748286602617984,0.251713397382015,0,7470,0.0192131527945755,0.0601938781996914,0,0.578472933250075,0.881994881583866,0.118005118416135,0,112,12,22,144,625,90000,0,0,0,0,1.488,1860
